name,rating,category,address,source
뱃고동,3.9,"해물,생선","서울 강남구 언주로172길 54 지하 1층
(지번) 신사동 663",kakaomap
테라로사 포스코센터점,4.0,카페,"서울 강남구 테헤란로 440 1-2층
(지번) 대치동 892",kakaomap
칙피스 가로수길점,4.1,샐러드,"서울 강남구 강남대로152길 69 1층
(지번) 신사동 540-18",kakaomap
요술포차 역삼점,4.2,"호프,요리주점","서울 강남구 테헤란로19길 5 지하1층
(지번) 역삼동 647-13",kakaomap
경천애인2237 삼성본점,4.1,"육류,고기","서울 강남구 테헤란로 421 암천빌딩 3층
(지번) 삼성동 142-46",kakaomap
빌즈 강남,3.2,양식,"서울 강남구 테헤란로 142 아크플레이스 2층
(지번) 역삼동 736-1",kakaomap
수다 대치점,4.6,일본식주점,"서울 강남구 선릉로86길 37 2층
(지번) 대치동 890-45",kakaomap
그랜드인터컨티넨탈 서울파르나스 그랜드키친,4.2,,"서울 강남구 테헤란로 521 1층
(지번) 삼성동 159-8",kakaomap
농민백암순대 본점,4.5,국밥,"서울 강남구 선릉로86길 40-4 알앤지타운 1층
(지번) 대치동 896-33",kakaomap
물고기자리 논현점,4.4,회,"서울 강남구 학동로4길 39 1층
(지번) 논현동 161-17",kakaomap
브릭오븐,3.5,피자,"서울 강남구 강남대로102길 31 2층
(지번) 역삼동 617-4",kakaomap
김돈이 본점,4.1,"육류,고기","서울 강남구 선릉로94길 9
(지번) 삼성동 140-29",kakaomap
원조원주추어탕 강남본점,3.6,추어,"서울 강남구 봉은사로2길 3 1-2층
(지번) 역삼동 601-3",kakaomap
일일향 2호점,3.5,중국요리,"서울 강남구 봉은사로 167
(지번) 논현동 206-5",kakaomap
이남장 삼성점,4.1,설렁탕,"서울 강남구 봉은사로108길 21 1층
(지번) 삼성동 165-12",kakaomap
